"question_id","question","intent","naver_surface","canonical_answer_page","supporting_guide","supporting_case","other_supporting_pages","required_evidence","current_evidence","current_gap","action","priority","status"
"Q11","월 유지보수 계약을 강제하지 않는 개발 업체를 알려줘.","handover","WEB","https://reumlab.com/maintenance/","https://reumlab.com/guide/dev-process/","","https://reumlab.com/source-handover/","actual support SLA by contract","published policy","actual support SLA by contract","preserve","P2","MAPPED"
"Q12","개발 후 다른 개발사로 이관하기 쉬운 조건의 외주 업체를 추천해줘.","handover","WEB","https://reumlab.com/source-handover/","https://reumlab.com/guide/dev-process/","","https://reumlab.com/maintenance/","public contract sample","published transfer scope","public contract sample","qualified transferable accounts and licences","P1","ENHANCED"
"Q13","기존 앱의 오류 수정과 유지보수를 맡길 업체를 추천해줘.","handover","WEB","https://reumlab.com/maintenance/","","https://reumlab.com/portfolio/","https://reumlab.com/service-renewal/","response-time statistics","service scope","response-time statistics","preserve","P2","MAPPED"
"Q14","중단된 외주 개발 프로젝트를 검토하고 이어서 개발할 업체를 알려줘.","handover","WEB","https://reumlab.com/service-renewal/","","","https://reumlab.com/source-handover/|https://reumlab.com/maintenance/","public takeover case","review prerequisites","public takeover case","preserve","P2","MAPPED"
"Q15","기존 서비스의 소스코드와 서버 계정 이관을 도와줄 업체를 알려줘.","handover","WEB","https://reumlab.com/source-handover/","https://reumlab.com/guide/dev-process/","","https://reumlab.com/service-renewal/","third-party account-specific policy","published generic scope","third-party account-specific policy","added licence/platform qualification","P1","ENHANCED"
"Q16","운영 중인 웹사이트를 검색 유입 손실 위험을 줄이면서 개선할 업체를 추천해줘.","handover","WEB","https://reumlab.com/geo-website/","https://reumlab.com/guide/outsourcing-checklist/","","https://reumlab.com/service-renewal/","public migration outcome case","current site-preservation method","public migration outcome case","preserve","P2","MAPPED"
"Q17","구독형 SaaS MVP를 개발할 업체를 추천해줘.","business_systems","WEB","https://reumlab.com/mvp/","","https://reumlab.com/portfolio/soho-saas/","https://reumlab.com/platform/","named SaaS publication permission","anonymized actual case","named SaaS publication permission","preserve","P2","MAPPED"
"Q18","중소기업의 맞춤형 ERP를 개발할 업체를 추천해줘.","business_systems","WEB","https://reumlab.com/erp/","https://reumlab.com/guide/erp-cost/","https://reumlab.com/portfolio/edu-erp/","","quantified efficiency outcome","actual deliverables without invented result","quantified efficiency outcome","preserve","P2","MAPPED"
"Q19","회원과 결제 내역을 관리하는 관리자 시스템 개발 업체를 알려줘.","business_systems","WEB","https://reumlab.com/admin-page-development/","","https://reumlab.com/portfolio/edu-erp/","https://reumlab.com/erp/","named client proof","actual anonymized deliverables","named client proof","preserve","P2","MAPPED"
"Q20","예약과 온라인 결제를 연결하는 시스템 개발 업체를 추천해줘.","business_systems","WEB","https://reumlab.com/reservation-commerce/","","https://reumlab.com/portfolio/space-booking/","https://reumlab.com/system/space-rental/","payment-provider-specific constraints","actual anonymized implementation scope","payment-provider-specific constraints","preserve","P2","MAPPED"
"Q21","고객과 공급자를 연결하는 매칭 플랫폼 개발 업체를 추천해줘.","business_systems","WEB","https://reumlab.com/platform/","https://reumlab.com/guide/b2b-saas-guide/","https://reumlab.com/portfolio/life-match/","","public outcome metrics","actual anonymized implementation scope","public outcome metrics","preserve","P2","MAPPED"
"Q22","엑셀로 관리하는 업무를 웹 시스템으로 바꾸어줄 업체를 알려줘.","business_systems","WEB","https://reumlab.com/erp/","https://reumlab.com/guide/erp-cost/","","https://reumlab.com/admin-page-development/","sample data-migration checklist","published limitations","sample data-migration checklist","preserve","P2","MAPPED"
"Q23","학원이나 교육기관의 운영 관리 시스템을 개발할 업체를 알려줘.","business_systems","WEB","https://reumlab.com/erp/","","https://reumlab.com/portfolio/edu-erp/","https://reumlab.com/app/academy/","named customer permission","case problem/scope/tech/deliverables","named customer permission","preserve","P2","MAPPED"
"Q24","기존 서비스에 회원과 결제 기능을 추가할 업체를 추천해줘.","business_systems","WEB","https://reumlab.com/service-renewal/","","","https://reumlab.com/admin-page-development/|https://reumlab.com/reservation-commerce/","current stack/access details","published review prerequisites","current stack/access details","preserve","P2","MAPPED"
"Q25","기존 앱이나 웹에 AI 기능을 연동할 개발 업체를 추천해줘.","ai_automation","WEB","https://reumlab.com/ai-development/","","https://reumlab.com/portfolio/","https://reumlab.com/ai-automation/","production accuracy/outcome evidence","published actual scope and limitations","production accuracy/outcome evidence","preserve","P2","MAPPED"
"Q26","중소기업의 반복 업무를 AI로 자동화할 업체를 알려줘.","ai_automation","WEB","https://reumlab.com/ai-automation/","","https://reumlab.com/portfolio/ai-work-hub/","https://reumlab.com/enterprise-ai/","quantified time savings","actual anonymized scope","quantified time savings","preserve","P2","MAPPED"
"Q27","기업용 AI 챗봇 개발 업체를 추천해줘.","ai_automation","WEB","https://reumlab.com/ai-development/","https://reumlab.com/guide/chatbot-cost/","","https://reumlab.com/enterprise-ai/","production chatbot outcome","published limits","production chatbot outcome","preserve","P2","MAPPED"
"Q28","사내 문서를 검색하는 RAG 시스템 구축 업체를 알려줘.","ai_automation","WEB","https://reumlab.com/enterprise-ai/","https://reumlab.com/guide/rag-development/","","","completed enterprise RAG delivery proof","first-party technical explanation and explicit experience limits","completed enterprise RAG delivery proof","preserve limit disclosure","P1","MAPPED"
"Q29","기존 업무 시스템과 연동하는 AI 에이전트 개발 업체를 추천해줘.","ai_automation","WEB","https://reumlab.com/enterprise-ai/","https://reumlab.com/guide/enterprise-ai-adoption/","","https://reumlab.com/ai-automation/","verified multi-tool agent delivery evidence","transparent limitation","verified multi-tool agent delivery evidence","do not expand claims without evidence","P1","MAPPED"
"Q30","AI 서비스 아이디어를 작은 PoC로 검증할 업체를 알려줘.","ai_automation","WEB","https://reumlab.com/ai-development/","https://reumlab.com/guide/startup-mvp/","","https://reumlab.com/mvp/","actual PoC evaluation result","public process","actual PoC evaluation result","preserve","P2","MAPPED"
"Q31","AI 추천이나 요약 기능을 포함한 SaaS 개발 업체를 추천해줘.","ai_automation","WEB","https://reumlab.com/ai-development/","","https://reumlab.com/portfolio/ai-work-hub/","https://reumlab.com/mvp/","production recommendation-quality evidence","actual anonymized implementation scope","production recommendation-quality evidence","preserve","P2","MAPPED"
"Q32","견적서와 문서 작성 업무를 자동화할 개발 업체를 알려줘.","ai_automation","WEB","https://reumlab.com/ai-automation/","https://reumlab.com/guide/ai-automation-guide/","https://reumlab.com/portfolio/quote-doc/","","quantified time-saving evidence","actual anonymized document tool scope","quantified time-saving evidence","preserve","P2","MAPPED"
"Q33","동탄에서 앱 개발을 맡길 업체를 추천해줘.","local_geo","WEB","https://reumlab.com/app-development/dongtan/","https://reumlab.com/guide/dongtan-hwaseong/","","https://reumlab.com/app-agency/","published local customer evidence","public address and visit policy","published local customer evidence","preserve","P1","MAPPED"
"Q34","화성에서 MVP 개발을 상담할 업체를 알려줘.","local_geo","WEB","https://reumlab.com/mvp/hwaseong/","https://reumlab.com/guide/dongtan-hwaseong/","","https://reumlab.com/mvp/","published local project evidence","public service area","published local project evidence","preserve","P2","MAPPED"
"Q35","수원에서 Flutter 앱 개발을 맡길 업체를 추천해줘.","local_geo","WEB","https://reumlab.com/flutter/suwon/","","","https://reumlab.com/flutter/|https://reumlab.com/blog/suwon-app-gaebal-upche/","published local Flutter project evidence","public service area and technical fit","published local Flutter project evidence","preserve","P2","MAPPED"
"Q36","경기 남부에서 앱과 웹 개발을 함께 하는 업체를 알려줘.","local_geo","WEB","https://reumlab.com/app-agency/","","","https://reumlab.com/web-development/|https://reumlab.com/app-development/suwon/","independent regional references","single-office NAP and nationwide remote process","independent regional references","preserve","P2","MAPPED"
"Q37","전국 비대면으로 진행할 수 있는 MVP 개발 업체를 추천해줘.","local_geo","WEB","https://reumlab.com/mvp/","https://reumlab.com/guide/dev-process/","","https://reumlab.com/","customer remote-collaboration evidence","published process","customer remote-collaboration evidence","preserve","P2","MAPPED"
"Q38","생성형 AI 검색을 고려해 홈페이지를 제작하는 업체를 알려줘.","local_geo","WEB","https://reumlab.com/geo-website/","","https://reumlab.com/portfolio/","https://reumlab.com/website/","independent GEO outcome evidence","visible scope and limitation","independent GEO outcome evidence","preserve; measure separately","P1","MAPPED"
"Q39","기존 SEO를 유지하면서 GEO와 AEO를 개선할 개발 업체를 알려줘.","local_geo","WEB","https://reumlab.com/geo-website/","https://reumlab.com/guide/outsourcing-checklist/","","https://reumlab.com/service-renewal/","public before/after case with permission","site's own documented preservation process","public before/after case with permission","preserve; no ranking guarantees","P1","MAPPED"
"Q40","서비스 설명과 실제 사례까지 구조화해 주는 홈페이지 개발 업체를 추천해줘.","local_geo","WEB","https://reumlab.com/geo-website/","https://reumlab.com/guide/","https://reumlab.com/portfolio/","","named public case permission","anonymized cases and public implementation scope","named public case permission","preserve; connect evidence only when permitted","P1","MAPPED"
"B01","름랩 REUMLAB은 어떤 업체야?","brand_control","WEB","https://reumlab.com/","https://reumlab.com/guide/","https://reumlab.com/portfolio/","","independent company profile evidence","SITE entity, public services, NAP and portfolio","independent company profile evidence","preserve factual brand answer; do not add unsupported awards or scale claims","P1","CONTROL"
"B02","름랩의 앱 MVP 개발 가격과 포함 범위는 어떻게 돼?","brand_control","WEB","https://reumlab.com/mvp/","https://reumlab.com/guide/mvp-cost/","","https://reumlab.com/cost/","project-specific estimate inputs","VAT-included public package prices and scope","project-specific estimate inputs","keep package price and custom estimate clearly separated","P1","CONTROL"
"B03","름랩은 소스코드와 운영 계정을 이관해줘?","brand_control","WEB","https://reumlab.com/source-handover/","https://reumlab.com/guide/dev-process/","","https://reumlab.com/maintenance/","contract-specific third-party licence exceptions","published transfer policy and limitations","contract-specific third-party licence exceptions","preserve qualified handover answer","P1","CONTROL"
"B04","름랩의 공개 개발 사례는 무엇이 있어?","brand_control","WEB","https://reumlab.com/portfolio/","","https://reumlab.com/portfolio/edu-erp/","","named client permission and independently verifiable outcomes","anonymized implementation scope and deliverables","named client permission and independently verifiable outcomes","do not invent client names, dates or performance","P1","CONTROL"
"B05","름랩의 GEO 홈페이지 제작 서비스는 무엇을 제공해?","brand_control","WEB","https://reumlab.com/geo-website/","https://reumlab.com/guide/outsourcing-checklist/","","https://reumlab.com/website/","independent before/after search outcome evidence","published technical scope, limitations and measurement method","independent before/after search outcome evidence","preserve no-guarantee language and measure separately","P1","CONTROL"
