"prompt_id","intent_group","primary_target_url","supporting_urls","current_answer_location","missing_information","available_evidence","content_change_needed","internal_link_change","overlap_risk","priority","status"
"Q19","business_systems","https://reumlab.com/admin-page-development/","https://reumlab.com/erp/|https://reumlab.com/portfolio/edu-erp/","member/payment/operator functions","named client proof","actual anonymized deliverables","preserve","none","ERP is broader internal system intent","P2","MAPPED"
"Q20","business_systems","https://reumlab.com/reservation-commerce/","https://reumlab.com/system/space-rental/|https://reumlab.com/portfolio/space-booking/","booking-payment flow; exclusions; case","payment-provider-specific constraints","actual anonymized implementation scope","preserve","none","system page supports feature intent","P2","MAPPED"
"Q21","business_systems","https://reumlab.com/platform/","https://reumlab.com/guide/b2b-saas-guide/|https://reumlab.com/portfolio/life-match/","two-sided roles; matching; settlement; case","public outcome metrics","actual anonymized implementation scope","preserve","none","none detected","P2","MAPPED"
"Q22","business_systems","https://reumlab.com/erp/","https://reumlab.com/admin-page-development/|https://reumlab.com/guide/erp-cost/","Excel migration; permissions; workflow","sample data-migration checklist","published limitations","preserve","none","admin page is narrower interface intent","P2","MAPPED"
"Q23","business_systems","https://reumlab.com/erp/","https://reumlab.com/portfolio/edu-erp/|https://reumlab.com/app/academy/","education workflow and actual anonymized case","named customer permission","case problem/scope/tech/deliverables","preserve","none","industry page supports vertical detail","P2","MAPPED"
"Q24","business_systems","https://reumlab.com/service-renewal/","https://reumlab.com/admin-page-development/|https://reumlab.com/reservation-commerce/","existing system audit and partial feature addition","current stack/access details","published review prerequisites","preserve","none","feature pages support narrower needs","P2","MAPPED"
"Q25","ai_automation","https://reumlab.com/ai-development/","https://reumlab.com/ai-automation/|https://reumlab.com/portfolio/","existing-service AI integration and limits","production accuracy/outcome evidence","published actual scope and limitations","preserve","none","automation page is workflow-focused","P2","MAPPED"
"Q26","ai_automation","https://reumlab.com/ai-automation/","https://reumlab.com/enterprise-ai/|https://reumlab.com/portfolio/ai-work-hub/","workflow candidates; human review; cost exclusions","quantified time savings","actual anonymized scope","preserve","none","enterprise-ai is internal search/governance intent","P2","MAPPED"
"Q27","ai_automation","https://reumlab.com/ai-development/","https://reumlab.com/enterprise-ai/|https://reumlab.com/guide/chatbot-cost/","chatbot scope; handoff; hallucination controls","production chatbot outcome","published limits","preserve","none","enterprise page targets internal data","P2","MAPPED"
"Q28","ai_automation","https://reumlab.com/enterprise-ai/","https://reumlab.com/guide/rag-development/|https://reumlab.com/guide/enterprise-ai-cost/","RAG architecture; permissions; evaluation limits","completed enterprise RAG delivery proof","first-party technical explanation and explicit experience limits","preserve limit disclosure","none","none detected","P1","MAPPED"
"Q29","ai_automation","https://reumlab.com/enterprise-ai/","https://reumlab.com/ai-automation/|https://reumlab.com/guide/enterprise-ai-adoption/","agent boundary and not-yet-delivered disclosure","verified multi-tool agent delivery evidence","transparent limitation","do not expand claims without evidence","none","automation page covers fixed workflows","P1","MAPPED"
"Q30","ai_automation","https://reumlab.com/ai-development/","https://reumlab.com/mvp/|https://reumlab.com/guide/startup-mvp/","small-scope validation process","actual PoC evaluation result","public process","preserve","none","MVP supports product validation","P2","MAPPED"
"Q31","ai_automation","https://reumlab.com/ai-development/","https://reumlab.com/mvp/|https://reumlab.com/portfolio/ai-work-hub/","AI feature + SaaS scope and limitations","production recommendation-quality evidence","actual anonymized implementation scope","preserve","none","MVP supports delivery model","P2","MAPPED"
"Q32","ai_automation","https://reumlab.com/ai-automation/","https://reumlab.com/portfolio/quote-doc/|https://reumlab.com/guide/ai-automation-guide/","document generation workflow and human review","quantified time-saving evidence","actual anonymized document tool scope","preserve","none","none detected","P2","MAPPED"
"Q33","local_geo","https://reumlab.com/app-development/dongtan/","https://reumlab.com/app-agency/|https://reumlab.com/guide/dongtan-hwaseong/","single Dongtan office; local/remote process; service-specific FAQ","published local customer evidence","public address and visit policy","preserve","none","no new regional doorway page","P1","MAPPED"
"Q34","local_geo","https://reumlab.com/mvp/hwaseong/","https://reumlab.com/mvp/|https://reumlab.com/guide/dongtan-hwaseong/","Hwaseong-specific working context and remote process","published local project evidence","public service area","preserve","none","no new regional doorway page","P2","MAPPED"
"Q35","local_geo","https://reumlab.com/flutter/suwon/","https://reumlab.com/flutter/|https://reumlab.com/blog/suwon-app-gaebal-upche/","Suwon-specific Flutter answer and limits","published local Flutter project evidence","public service area and technical fit","preserve","none","no new regional doorway page","P2","MAPPED"
"Q36","local_geo","https://reumlab.com/app-agency/","https://reumlab.com/web-development/|https://reumlab.com/app-development/suwon/","app/web scope and Gyeonggi-south service mode","independent regional references","single-office NAP and nationwide remote process","preserve","none","avoid broad regional duplicate page","P2","MAPPED"
"Q37","local_geo","https://reumlab.com/mvp/","https://reumlab.com/guide/dev-process/|https://reumlab.com/","nationwide remote process and handover","customer remote-collaboration evidence","published process","preserve","none","none detected","P2","MAPPED"
"Q38","local_geo","https://reumlab.com/geo-website/","https://reumlab.com/website/|https://reumlab.com/portfolio/","AI-search-ready technical/content scope; no guarantee","independent GEO outcome evidence","visible scope and limitation","preserve; measure separately","none","none detected","P1","MAPPED"
"Q39","local_geo","https://reumlab.com/geo-website/","https://reumlab.com/service-renewal/|https://reumlab.com/guide/outsourcing-checklist/","existing-asset protection; audit; redirects; measurement","public before/after case with permission","site's own documented preservation process","preserve; no ranking guarantees","none","renewal supports broader rebuild intent","P1","MAPPED"
"Q40","local_geo","https://reumlab.com/geo-website/","https://reumlab.com/portfolio/|https://reumlab.com/guide/","entity/content/schema/case structure","named public case permission","anonymized cases and public implementation scope","preserve; connect evidence only when permitted","none","none detected","P1","MAPPED"
